Experiment: 20250413_045355
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 20

20 vertexes:
Attempt 1: 0.038700178265571594ms
Attempt 2: 0.03569992259144783ms
Attempt 3: 0.03229966387152672ms
Attempt 4: 0.04239985719323158ms
Attempt 5: 0.034300144761800766ms
Attempt 6: 0.033099669963121414ms
Attempt 7: 0.03589969128370285ms
Attempt 8: 0.03620004281401634ms
Attempt 9: 0.035400036722421646ms
Attempt 10: 0.032899901270866394ms
Attempt 11: 0.03300001844763756ms
Attempt 12: 0.03240024670958519ms
Attempt 13: 0.032700132578611374ms
Attempt 14: 0.03590015694499016ms
Attempt 15: 0.07640011608600616ms
Attempt 16: 0.06720004603266716ms
Attempt 17: 0.06470037624239922ms
Attempt 18: 0.061499886214733124ms
Attempt 19: 0.036700163036584854ms
Attempt 20: 0.036499928683042526ms
Average time: 0.04169500898569822ms
30 vertexes:
Attempt 1: 0.08739996701478958ms
Attempt 2: 0.08319970220327377ms
Attempt 3: 0.08849985897541046ms
Attempt 4: 0.09590014815330505ms
Attempt 5: 0.08459994569420815ms
Attempt 6: 0.0841999426484108ms
Attempt 7: 0.08329981938004494ms
Attempt 8: 0.08559972047805786ms
Attempt 9: 0.08619995787739754ms
Attempt 10: 0.08570030331611633ms
Attempt 11: 0.08150003850460052ms
Attempt 12: 0.07819989696145058ms
Attempt 13: 0.07730023935437202ms
Attempt 14: 0.11090002954006195ms
Attempt 15: 0.08190004155039787ms
Attempt 16: 0.07690023630857468ms
Attempt 17: 0.08330028504133224ms
Attempt 18: 0.1113000325858593ms
Attempt 19: 0.07910002022981644ms
Attempt 20: 0.07760012522339821ms
Average time: 0.08613001555204391ms
40 vertexes:
Attempt 1: 0.1543997786939144ms
Attempt 2: 0.15300000086426735ms
Attempt 3: 0.15820004045963287ms
Attempt 4: 0.1596999354660511ms
Attempt 5: 0.15160022303462029ms
Attempt 6: 0.1539001241326332ms
Attempt 7: 0.1675998792052269ms
Attempt 8: 0.15740003436803818ms
Attempt 9: 0.15590013936161995ms
Attempt 10: 0.17029978334903717ms
Attempt 11: 0.16199983656406403ms
Attempt 12: 0.16369996592402458ms
Attempt 13: 0.21079974249005318ms
Attempt 14: 0.165499746799469ms
Attempt 15: 0.16589974984526634ms
Attempt 16: 0.16900012269616127ms
Attempt 17: 0.17109978944063187ms
Attempt 18: 0.17319992184638977ms
Attempt 19: 0.16540009528398514ms
Attempt 20: 0.169999897480011ms
Average time: 0.16492994036525488ms
50 vertexes:
Attempt 1: 0.29400037601590157ms
Attempt 2: 0.295800156891346ms
Attempt 3: 0.2979002892971039ms
Attempt 4: 0.29380014166235924ms
Attempt 5: 0.2953996881842613ms
Attempt 6: 0.3262003883719444ms
Attempt 7: 0.3018002025783062ms
Attempt 8: 0.29980018734931946ms
Attempt 9: 0.28559984639286995ms
Attempt 10: 0.27670012786984444ms
Attempt 11: 0.2662995830178261ms
Attempt 12: 0.29349979013204575ms
Attempt 13: 0.3086002543568611ms
Attempt 14: 0.3094002604484558ms
Attempt 15: 0.2902001142501831ms
Attempt 16: 0.2921000123023987ms
Attempt 17: 0.306200236082077ms
Attempt 18: 0.27860002592206ms
Attempt 19: 0.2772998996078968ms
Attempt 20: 0.29899971559643745ms
Average time: 0.2944100648164749ms
60 vertexes:
Attempt 1: 0.6341999396681786ms
Attempt 2: 0.4861997440457344ms
Attempt 3: 0.47690002247691154ms
Attempt 4: 0.4933001473546028ms
Attempt 5: 0.48629986122250557ms
Attempt 6: 1.0060002095997334ms
Attempt 7: 0.575600191950798ms
Attempt 8: 0.6661000661551952ms
Attempt 9: 0.4881001077592373ms
Attempt 10: 0.4941001534461975ms
Attempt 11: 0.4742001183331013ms
Attempt 12: 0.46870019286870956ms
Attempt 13: 0.8817999623715878ms
Attempt 14: 0.45370031148195267ms
Attempt 15: 0.9520999155938625ms
Attempt 16: 0.46689994633197784ms
Attempt 17: 0.47930004075169563ms
Attempt 18: 0.45430008322000504ms
Attempt 19: 0.5062003619968891ms
Attempt 20: 0.4658997058868408ms
Average time: 0.5704950541257858ms
70 vertexes:
Attempt 1: 1.3410001993179321ms
Attempt 2: 0.7821996696293354ms
Attempt 3: 0.7099001668393612ms
Attempt 4: 0.7479996420443058ms
Attempt 5: 0.6938003934919834ms
Attempt 6: 0.7302002049982548ms
Attempt 7: 0.6935000419616699ms
Attempt 8: 0.7950998842716217ms
Attempt 9: 0.7843999192118645ms
Attempt 10: 0.6874999962747097ms
Attempt 11: 0.6833998486399651ms
Attempt 12: 0.6859996356070042ms
Attempt 13: 0.6812997162342072ms
Attempt 14: 0.6826003082096577ms
Attempt 15: 1.2974003329873085ms
Attempt 16: 0.6904001347720623ms
Attempt 17: 0.7327999919652939ms
Attempt 18: 0.7969997823238373ms
Attempt 19: 0.6988998502492905ms
Attempt 20: 0.6845998577773571ms
Average time: 0.7799999788403511ms
80 vertexes:
Attempt 1: 0.9714001789689064ms
Attempt 2: 0.9673996828496456ms
Attempt 3: 1.083199866116047ms
Attempt 4: 0.9788996540009975ms
Attempt 5: 0.9747999720275402ms
Attempt 6: 0.9805997833609581ms
Attempt 7: 1.0963999666273594ms
Attempt 8: 1.0744999162852764ms
Attempt 9: 1.0620998218655586ms
Attempt 10: 1.0954001918435097ms
Attempt 11: 1.0637999512255192ms
Attempt 12: 1.0212999768555164ms
Attempt 13: 0.9587001986801624ms
Attempt 14: 0.9543001651763916ms
Attempt 15: 0.9486996568739414ms
Attempt 16: 0.9522000327706337ms
Attempt 17: 0.965300016105175ms
Attempt 18: 0.9774998761713505ms
Attempt 19: 0.9679999202489853ms
Attempt 20: 0.9800000116229057ms
Average time: 1.003724941983819ms
90 vertexes:
Attempt 1: 1.3429000973701477ms
Attempt 2: 1.3287002220749855ms
Attempt 3: 1.3508996926248074ms
Attempt 4: 1.330799888819456ms
Attempt 5: 1.4074998907744884ms
Attempt 6: 1.3410001993179321ms
Attempt 7: 1.3561001978814602ms
Attempt 8: 1.3506999239325523ms
Attempt 9: 1.3729003258049488ms
Attempt 10: 1.4263996854424477ms
Attempt 11: 1.3430998660624027ms
Attempt 12: 1.5398003160953522ms
Attempt 13: 1.3333000242710114ms
Attempt 14: 1.3569002039730549ms
Attempt 15: 1.3335002586245537ms
Attempt 16: 1.3343999162316322ms
Attempt 17: 1.4768000692129135ms
Attempt 18: 1.3256003148853779ms
Attempt 19: 1.3793003745377064ms
Attempt 20: 1.3402001932263374ms
Average time: 1.3685400830581784ms
100 vertexes:
Attempt 1: 1.8237996846437454ms
Attempt 2: 1.9172001630067825ms
Attempt 3: 1.9453000277280807ms
Attempt 4: 1.7785998061299324ms
Attempt 5: 1.832200214266777ms
Attempt 6: 1.7993999645113945ms
Attempt 7: 1.7992998473346233ms
Attempt 8: 1.8438003025949001ms
Attempt 9: 1.7876997590065002ms
Attempt 10: 1.7646001651883125ms
Attempt 11: 1.7691999673843384ms
Attempt 12: 1.9453000277280807ms
Attempt 13: 1.8008002080023289ms
Attempt 14: 1.7671999521553516ms
Attempt 15: 1.8072002567350864ms
Attempt 16: 1.8654000014066696ms
Attempt 17: 1.7852997407317162ms
Attempt 18: 1.7913999035954475ms
Attempt 19: 1.7702998593449593ms
Attempt 20: 1.7421003431081772ms
Average time: 1.8168050097301602ms
110 vertexes:
Attempt 1: 2.3729000240564346ms
Attempt 2: 2.243699971586466ms
Attempt 3: 2.3483997210860252ms
Attempt 4: 2.3425999097526073ms
Attempt 5: 2.412700094282627ms
Attempt 6: 2.290000207722187ms
Attempt 7: 2.4204999208450317ms
Attempt 8: 2.3171002976596355ms
Attempt 9: 2.3473002947866917ms
Attempt 10: 2.31559993699193ms
Attempt 11: 2.3067998699843884ms
Attempt 12: 2.341900020837784ms
Attempt 13: 2.2962000221014023ms
Attempt 14: 2.257700078189373ms
Attempt 15: 2.27639963850379ms
Attempt 16: 2.2941003553569317ms
Attempt 17: 2.3008999414741993ms
Attempt 18: 2.306099981069565ms
Attempt 19: 2.2966000251471996ms
Attempt 20: 2.338400110602379ms
Average time: 2.3212950211018324ms
120 vertexes:
Attempt 1: 3.0177002772688866ms
Attempt 2: 3.0062999576330185ms
Attempt 3: 2.9632998630404472ms
Attempt 4: 2.9277000576257706ms
Attempt 5: 2.8920997865498066ms
Attempt 6: 3.063599579036236ms
Attempt 7: 2.941099926829338ms
Attempt 8: 3.13179986551404ms
Attempt 9: 2.9238001443445683ms
Attempt 10: 2.9182997532188892ms
Attempt 11: 3.3001000992953777ms
Attempt 12: 3.194099757820368ms
Attempt 13: 3.3094999380409718ms
Attempt 14: 3.14809987321496ms
Attempt 15: 3.220700193196535ms
Attempt 16: 2.9831998981535435ms
Attempt 17: 2.8918003663420677ms
Attempt 18: 2.9059997759759426ms
Attempt 19: 2.89939995855093ms
Attempt 20: 2.9370998963713646ms
Average time: 3.028784948401153ms
130 vertexes:
Attempt 1: 3.6617000587284565ms
Attempt 2: 3.6763995885849ms
Attempt 3: 3.8410001434385777ms
Attempt 4: 3.730500116944313ms
Attempt 5: 3.7263999693095684ms
Attempt 6: 3.6593000404536724ms
Attempt 7: 3.687400370836258ms
Attempt 8: 3.633500076830387ms
Attempt 9: 3.686500247567892ms
Attempt 10: 3.7487000226974487ms
Attempt 11: 3.698399756103754ms
Attempt 12: 3.6689997650682926ms
Attempt 13: 3.7916996516287327ms
Attempt 14: 3.598700277507305ms
Attempt 15: 3.6653000861406326ms
Attempt 16: 3.9474000222980976ms
Attempt 17: 4.1865999810397625ms
Attempt 18: 3.7242001853883266ms
Attempt 19: 3.597599919885397ms
Attempt 20: 3.656799905002117ms
Average time: 3.7293550092726946ms
140 vertexes:
Attempt 1: 4.643400199711323ms
Attempt 2: 4.5461999252438545ms
Attempt 3: 4.55200020223856ms
Attempt 4: 4.54809982329607ms
Attempt 5: 4.542199894785881ms
Attempt 6: 4.77349990978837ms
Attempt 7: 4.514599684625864ms
Attempt 8: 4.487000405788422ms
Attempt 9: 4.575999919325113ms
Attempt 10: 4.514299798756838ms
Attempt 11: 4.548899829387665ms
Attempt 12: 4.900200292468071ms
Attempt 13: 4.529000259935856ms
Attempt 14: 4.503299947828054ms
Attempt 15: 4.483000375330448ms
Attempt 16: 4.517599940299988ms
Attempt 17: 4.506299737840891ms
Attempt 18: 4.4836001470685005ms
Attempt 19: 4.652299918234348ms
Attempt 20: 4.664899781346321ms
Average time: 4.574319999665022ms
150 vertexes:
Attempt 1: 5.546200089156628ms
Attempt 2: 5.480499938130379ms
Attempt 3: 5.569299682974815ms
Attempt 4: 5.630000028759241ms
Attempt 5: 6.1749001033604145ms
Attempt 6: 5.460300017148256ms
Attempt 7: 5.530599970370531ms
Attempt 8: 5.540100391954184ms
Attempt 9: 5.53049985319376ms
Attempt 10: 5.723199807107449ms
Attempt 11: 5.560300312936306ms
Attempt 12: 5.5090999230742455ms
Attempt 13: 5.596499890089035ms
Attempt 14: 5.665900185704231ms
Attempt 15: 5.830500274896622ms
Attempt 16: 5.53710013628006ms
Attempt 17: 5.677999928593636ms
Attempt 18: 5.5196997709572315ms
Attempt 19: 5.492699798196554ms
Attempt 20: 5.491300020366907ms
Average time: 5.603335006162524ms
160 vertexes:
Attempt 1: 6.751399952918291ms
Attempt 2: 6.598399952054024ms
Attempt 3: 6.6189998760819435ms
Attempt 4: 6.6765001974999905ms
Attempt 5: 6.8581001833081245ms
Attempt 6: 6.635100115090609ms
Attempt 7: 6.593900267034769ms
Attempt 8: 6.688399706035852ms
Attempt 9: 6.658600177615881ms
Attempt 10: 6.550200283527374ms
Attempt 11: 6.776800379157066ms
Attempt 12: 6.634199991822243ms
Attempt 13: 6.616800092160702ms
Attempt 14: 6.646700203418732ms
Attempt 15: 6.728899665176868ms
Attempt 16: 6.584499962627888ms
Attempt 17: 6.591999903321266ms
Attempt 18: 6.569999735802412ms
Attempt 19: 6.766799837350845ms
Attempt 20: 6.957300007343292ms
Average time: 6.675180024467409ms
170 vertexes:
Attempt 1: 8.013800252228975ms
Attempt 2: 7.930499967187643ms
Attempt 3: 8.177100215107203ms
Attempt 4: 8.016500156372786ms
Attempt 5: 7.984899915754795ms
Attempt 6: 8.137899916619062ms
Attempt 7: 7.790700066834688ms
Attempt 8: 7.933500222861767ms
Attempt 9: 7.934900000691414ms
Attempt 10: 7.928899955004454ms
Attempt 11: 7.837499957531691ms
Attempt 12: 7.881699595600367ms
Attempt 13: 7.998000364750624ms
Attempt 14: 7.925300393253565ms
Attempt 15: 7.8177000395953655ms
Attempt 16: 7.877499796450138ms
Attempt 17: 8.117299992591143ms
Attempt 18: 7.881700061261654ms
Attempt 19: 8.136199787259102ms
Attempt 20: 7.911499589681625ms
Average time: 7.961655012331903ms
180 vertexes:
Attempt 1: 9.262899868190289ms
Attempt 2: 9.39099956303835ms
Attempt 3: 9.197899606078863ms
Attempt 4: 9.281099773943424ms
Attempt 5: 9.363799821585417ms
Attempt 6: 9.512100368738174ms
Attempt 7: 9.348100051283836ms
Attempt 8: 9.322499856352806ms
Attempt 9: 9.192300029098988ms
Attempt 10: 9.191400371491909ms
Attempt 11: 9.30699985474348ms
Attempt 12: 9.120499715209007ms
Attempt 13: 9.15539963170886ms
Attempt 14: 9.432900231331587ms
Attempt 15: 9.454900398850441ms
Attempt 16: 9.13209980353713ms
Attempt 17: 9.224700275808573ms
Attempt 18: 9.371899999678135ms
Attempt 19: 9.64100006967783ms
Attempt 20: 9.2612998560071ms
Average time: 9.30823995731771ms
190 vertexes:
Attempt 1: 10.974599979817867ms
Attempt 2: 10.982600040733814ms
Attempt 3: 10.690999682992697ms
Attempt 4: 10.82930015400052ms
Attempt 5: 11.100600007921457ms
Attempt 6: 10.812500026077032ms
Attempt 7: 10.9183001331985ms
Attempt 8: 11.874699965119362ms
Attempt 9: 10.967799928039312ms
Attempt 10: 10.801499709486961ms
Attempt 11: 10.940100066363811ms
Attempt 12: 10.68970002233982ms
Attempt 13: 10.861100163310766ms
Attempt 14: 10.909399949014187ms
Attempt 15: 10.996299795806408ms
Attempt 16: 10.802400298416615ms
Attempt 17: 10.98879985511303ms
Attempt 18: 10.96830004826188ms
Attempt 19: 10.821900330483913ms
Attempt 20: 10.942500084638596ms
Average time: 10.943670012056828ms
200 vertexes:
Attempt 1: 12.520399875938892ms
Attempt 2: 12.551600113511086ms
Attempt 3: 13.140199705958366ms
Attempt 4: 12.619199696928263ms
Attempt 5: 12.478200253099203ms
Attempt 6: 12.52679992467165ms
Attempt 7: 12.527900282293558ms
Attempt 8: 12.577000074088573ms
Attempt 9: 12.701900210231543ms
Attempt 10: 12.733700219541788ms
Attempt 11: 12.37650029361248ms
Attempt 12: 12.399500235915184ms
Attempt 13: 12.534099631011486ms
Attempt 14: 12.594799976795912ms
Attempt 15: 12.543899938464165ms
Attempt 16: 12.424599844962358ms
Attempt 17: 12.87749968469143ms
Attempt 18: 12.659300118684769ms
Attempt 19: 13.306799810379744ms
Attempt 20: 13.044199906289577ms
Average time: 12.656904989853501ms
210 vertexes:
Attempt 1: 14.540900010615587ms
Attempt 2: 15.195199754089117ms
Attempt 3: 14.310400001704693ms
Attempt 4: 14.208599925041199ms
Attempt 5: 14.451600145548582ms
Attempt 6: 14.467999804764986ms
Attempt 7: 14.323399867862463ms
Attempt 8: 14.502199832350016ms
Attempt 9: 15.25069959461689ms
Attempt 10: 14.288299717009068ms
Attempt 11: 14.56120004877448ms
Attempt 12: 14.606200158596039ms
Attempt 13: 14.49539978057146ms
Attempt 14: 14.48890008032322ms
Attempt 15: 14.238399919122458ms
Attempt 16: 14.285500161349773ms
Attempt 17: 14.332300052046776ms
Attempt 18: 14.424900058656931ms
Attempt 19: 14.410499949008226ms
