Experiment: 20250413_050621
Density: 0.2
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.0073998235166072845ms
Attempt 2: 0.01859990879893303ms
Attempt 3: 0.07570022717118263ms
Attempt 4: 0.0320998951792717ms
Attempt 5: 0.011600088328123093ms
Attempt 6: 0.029900111258029938ms
Attempt 7: 0.05260016769170761ms
Attempt 8: 0.24570012465119362ms
Attempt 9: 0.05469983443617821ms
Attempt 10: 0.045000109821558ms
Average time: 0.05733002908527851ms
30 vertexes:
Attempt 1: 0.11379970237612724ms
Attempt 2: 0.1250002533197403ms
Attempt 3: 0.07699988782405853ms
Attempt 4: 0.1438995823264122ms
Attempt 5: 0.14400016516447067ms
Attempt 6: 0.15320023521780968ms
Attempt 7: 0.13269996270537376ms
Attempt 8: 0.18400000408291817ms
Attempt 9: 0.10870024561882019ms
Attempt 10: 0.04100007936358452ms
Average time: 0.12233001179993153ms
40 vertexes:
Attempt 1: 0.20079966634511948ms
Attempt 2: 0.1821001060307026ms
Attempt 3: 0.11749984696507454ms
Attempt 4: 0.15959981828927994ms
Attempt 5: 0.14330027624964714ms
Attempt 6: 0.1909998245537281ms
Attempt 7: 0.1308000646531582ms
Attempt 8: 0.187599565833807ms
Attempt 9: 0.15280023217201233ms
Attempt 10: 0.15700003132224083ms
Average time: 0.162249943241477ms
50 vertexes:
Attempt 1: 0.22719986736774445ms
Attempt 2: 0.2088998444378376ms
Attempt 3: 0.21070009097456932ms
Attempt 4: 0.19979989156126976ms
Attempt 5: 0.5740001797676086ms
Attempt 6: 0.29159989207983017ms
Attempt 7: 0.2546999603509903ms
Attempt 8: 0.21960027515888214ms
Attempt 9: 0.27719978243112564ms
Attempt 10: 0.23620016872882843ms
Average time: 0.26998999528586864ms
60 vertexes:
Attempt 1: 0.4102000966668129ms
Attempt 2: 0.2935999073088169ms
Attempt 3: 0.3906995989382267ms
Attempt 4: 0.6589996628463268ms
Attempt 5: 0.41290000081062317ms
Attempt 6: 0.35380013287067413ms
Attempt 7: 0.7569002918899059ms
Attempt 8: 0.3945999778807163ms
Attempt 9: 0.434699933975935ms
Attempt 10: 0.44380035251379013ms
Average time: 0.4550199955701828ms
70 vertexes:
Attempt 1: 0.7175998762249947ms
Attempt 2: 0.49869995564222336ms
Attempt 3: 0.47880038619041443ms
Attempt 4: 0.6168000400066376ms
Attempt 5: 0.581599771976471ms
Attempt 6: 0.5679000169038773ms
Attempt 7: 0.6426000036299229ms
Attempt 8: 0.6866003386676311ms
Attempt 9: 0.7168003357946873ms
Attempt 10: 0.479700043797493ms
Average time: 0.5987100768834352ms
80 vertexes:
Attempt 1: 0.9155003353953362ms
Attempt 2: 0.7233996875584126ms
Attempt 3: 0.9089000523090363ms
Attempt 4: 0.9534000419080257ms
Attempt 5: 0.9444002062082291ms
Attempt 6: 0.9726001881062984ms
Attempt 7: 0.9657000191509724ms
Attempt 8: 0.8827000856399536ms
Attempt 9: 0.9127999655902386ms
Attempt 10: 0.806999858468771ms
Average time: 0.8986400440335274ms
90 vertexes:
Attempt 1: 1.2388001196086407ms
Attempt 2: 1.3309000059962273ms
Attempt 3: 1.3045999221503735ms
Attempt 4: 1.1001997627317905ms
Attempt 5: 1.1400999501347542ms
Attempt 6: 1.1100000701844692ms
Attempt 7: 1.2114997953176498ms
Attempt 8: 1.2191003188490868ms
Attempt 9: 1.163099892437458ms
Attempt 10: 1.1715996079146862ms
Average time: 1.1989899445325136ms
100 vertexes:
Attempt 1: 1.6711996868252754ms
Attempt 2: 1.5719998627901077ms
Attempt 3: 1.6519003547728062ms
Attempt 4: 1.6156001947820187ms
Attempt 5: 1.7011002637445927ms
Attempt 6: 1.5710997395217419ms
Attempt 7: 1.623000018298626ms
Attempt 8: 1.7013996839523315ms
Attempt 9: 1.86110008507967ms
Attempt 10: 1.6886000521481037ms
Average time: 1.6656999941915274ms
110 vertexes:
Attempt 1: 2.038000151515007ms
Attempt 2: 2.35910015180707ms
Attempt 3: 2.2758999839425087ms
Attempt 4: 2.648599911481142ms
Attempt 5: 2.1104002371430397ms
Attempt 6: 2.075199969112873ms
Attempt 7: 1.886799931526184ms
Attempt 8: 2.205600030720234ms
Attempt 9: 2.0456002093851566ms
Attempt 10: 2.0455997437238693ms
Average time: 2.1690800320357084ms
120 vertexes:
Attempt 1: 2.78330035507679ms
Attempt 2: 2.7843001298606396ms
Attempt 3: 2.46219988912344ms
Attempt 4: 2.778399735689163ms
Attempt 5: 2.1937997080385685ms
Attempt 6: 2.5404999032616615ms
Attempt 7: 2.7613001875579357ms
Attempt 8: 2.5947000831365585ms
Attempt 9: 2.482099924236536ms
Attempt 10: 2.7079000137746334ms
Average time: 2.6088499929755926ms
130 vertexes:
Attempt 1: 3.426400013267994ms
Attempt 2: 4.487699829041958ms
Attempt 3: 4.134300164878368ms
Attempt 4: 3.4082001075148582ms
Attempt 5: 3.407900221645832ms
Attempt 6: 3.495700191706419ms
Attempt 7: 3.5208002664148808ms
Attempt 8: 3.823499660938978ms
Attempt 9: 3.5021998919546604ms
Attempt 10: 3.5145003348588943ms
Average time: 3.6721200682222843ms
140 vertexes:
Attempt 1: 4.1551003232598305ms
Attempt 2: 4.1956002824008465ms
Attempt 3: 3.994300030171871ms
Attempt 4: 4.101499915122986ms
Attempt 5: 4.035999998450279ms
Attempt 6: 3.9925002492964268ms
Attempt 7: 4.294999875128269ms
Attempt 8: 4.383500199764967ms
Attempt 9: 4.343099892139435ms
Attempt 10: 3.971199970692396ms
Average time: 4.146780073642731ms
150 vertexes:
Attempt 1: 5.185400135815144ms
Attempt 2: 5.535999778658152ms
Attempt 3: 4.874200094491243ms
Attempt 4: 5.76790003105998ms
Attempt 5: 4.651300143450499ms
Attempt 6: 5.448299925774336ms
Attempt 7: 5.268900189548731ms
Attempt 8: 5.254200194031ms
Attempt 9: 4.953399766236544ms
Attempt 10: 5.089399870485067ms
Average time: 5.2029000129550695ms
160 vertexes:
Attempt 1: 6.155300419777632ms
Attempt 2: 6.187899969518185ms
Attempt 3: 6.22999994084239ms
Attempt 4: 5.997700151056051ms
Attempt 5: 5.889200139790773ms
Attempt 6: 5.843000020831823ms
Attempt 7: 6.269699893891811ms
Attempt 8: 6.037999875843525ms
Attempt 9: 5.884800106287003ms
Attempt 10: 6.18709996342659ms
Average time: 6.068270048126578ms
170 vertexes:
Attempt 1: 7.2351000271737576ms
Attempt 2: 6.397899705916643ms
Attempt 3: 7.932600099593401ms
Attempt 4: 6.986699998378754ms
Attempt 5: 8.298599626868963ms
Attempt 6: 7.054100278764963ms
Attempt 7: 7.59839965030551ms
Attempt 8: 7.225499954074621ms
Attempt 9: 7.054000161588192ms
Attempt 10: 6.521899718791246ms
Average time: 7.230479922145605ms
180 vertexes:
Attempt 1: 9.284100029617548ms
Attempt 2: 8.950300049036741ms
Attempt 3: 8.30879993736744ms
Attempt 4: 7.635500282049179ms
Attempt 5: 8.861300069838762ms
Attempt 6: 8.857899811118841ms
Attempt 7: 8.456400129944086ms
Attempt 8: 9.248600341379642ms
Attempt 9: 8.798900060355663ms
Attempt 10: 8.817399851977825ms
Average time: 8.721920056268573ms
190 vertexes:
Attempt 1: 10.38610003888607ms
Attempt 2: 9.657299611717463ms
Attempt 3: 10.350100230425596ms
Attempt 4: 9.945699945092201ms
Attempt 5: 11.36420015245676ms
Attempt 6: 10.579700116068125ms
Attempt 7: 10.099600069224834ms
Attempt 8: 10.024200193583965ms
Attempt 9: 9.224799927324057ms
Attempt 10: 10.383300017565489ms
Average time: 10.201500030234456ms
200 vertexes:
Attempt 1: 11.585899628698826ms
Attempt 2: 12.002300005406141ms
Attempt 3: 11.934599839150906ms
Attempt 4: 11.221100110560656ms
Attempt 5: 11.860100086778402ms
Attempt 6: 11.698899790644646ms
Attempt 7: 12.275000102818012ms
Attempt 8: 12.627499643713236ms
Attempt 9: 11.68570015579462ms
Attempt 10: 11.104200035333633ms
Average time: 11.799529939889908ms
210 vertexes:
Attempt 1: 13.639300130307674ms
Attempt 2: 13.547700364142656ms
Attempt 3: 14.192999806255102ms
Attempt 4: 13.238400220870972ms
Attempt 5: 13.102900236845016ms
Attempt 6: 13.760299887508154ms
Attempt 7: 14.056699816137552ms
Attempt 8: 13.644799590110779ms
Attempt 9: 13.55479983612895ms
Attempt 10: 14.089799951761961ms
Average time: 13.682769984006882ms
220 vertexes:
Attempt 1: 16.094899736344814ms
Attempt 2: 15.563299879431725ms
Attempt 3: 15.352899674326181ms
Attempt 4: 14.723700005561113ms
Attempt 5: 14.802000019699335ms
Attempt 6: 15.54090017452836ms
Attempt 7: 15.673100017011166ms
Attempt 8: 15.53660025820136ms
Attempt 9: 15.985600184649229ms
Attempt 10: 16.743300016969442ms
Average time: 15.601629996672273ms
230 vertexes:
Attempt 1: 18.006099853664637ms
Attempt 2: 17.874099779874086ms
Attempt 3: 18.499699886888266ms
Attempt 4: 18.452700227499008ms
Attempt 5: 16.41640020534396ms
Attempt 6: 16.606499906629324ms
Attempt 7: 18.04050011560321ms
Attempt 8: 17.55509991198778ms
Attempt 9: 17.64139998704195ms
Attempt 10: 18.70639994740486ms
Average time: 17.77988998219371ms
240 vertexes:
Attempt 1: 20.942499861121178ms
Attempt 2: 20.4436001367867ms
Attempt 3: 20.596500020474195ms
Attempt 4: 20.60149982571602ms
Attempt 5: 19.800500012934208ms
Attempt 6: 20.192299969494343ms
Attempt 7: 21.031600423157215ms
Attempt 8: 20.954499952495098ms
Attempt 9: 19.893900025635958ms
Attempt 10: 20.310900174081326ms
Average time: 20.476780040189624ms
250 vertexes:
Attempt 1: 23.2077999971807ms
Attempt 2: 23.283899761736393ms
Attempt 3: 22.666600067168474ms
Attempt 4: 20.456199999898672ms
Attempt 5: 22.67730003222823ms
Attempt 6: 22.779599763453007ms
Attempt 7: 23.26949965208769ms
Attempt 8: 21.11870003864169ms
Attempt 9: 24.8000998981297ms
Attempt 10: 22.052399814128876ms
Average time: 22.631209902465343ms
260 vertexes:
Attempt 1: 22.620500065386295ms
Attempt 2: 25.80949990078807ms
Attempt 3: 26.89399989321828ms
