Experiment: 20250413_043257
Density: 0.2
Vertexes: 20 - 200, delta: 20
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.03569992259144783ms
Attempt 2: 0.002699904143810272ms
Attempt 3: 0.013600103557109833ms
Attempt 4: 0.02859998494386673ms
Attempt 5: 0.019700266420841217ms
Attempt 6: 0.024100299924612045ms
Attempt 7: 0.00780029222369194ms
Attempt 8: 0.019700266420841217ms
Attempt 9: 0.032899901270866394ms
Attempt 10: 0.019400380551815033ms
Average time: 0.02042013220489025ms
40 vertexes:
Attempt 1: 0.11370005086064339ms
Attempt 2: 0.10539963841438293ms
Attempt 3: 0.09689992293715477ms
Attempt 4: 0.1425999216735363ms
Attempt 5: 0.12320000678300858ms
Attempt 6: 0.11830031871795654ms
Attempt 7: 0.12510037049651146ms
Attempt 8: 0.07880013436079025ms
Attempt 9: 0.07939990609884262ms
Attempt 10: 0.09099999442696571ms
Average time: 0.10744002647697926ms
60 vertexes:
Attempt 1: 0.40950020775198936ms
Attempt 2: 0.38009975105524063ms
Attempt 3: 0.37789996713399887ms
Attempt 4: 0.36380020901560783ms
Attempt 5: 0.3588995896279812ms
Attempt 6: 0.430199783295393ms
Attempt 7: 0.30750036239624023ms
Attempt 8: 0.3471001982688904ms
Attempt 9: 0.43789995834231377ms
Attempt 10: 0.40190014988183975ms
Average time: 0.3814800176769495ms
80 vertexes:
Attempt 1: 0.7935003377497196ms
Attempt 2: 0.8865999989211559ms
Attempt 3: 0.8043996058404446ms
Attempt 4: 0.8632000535726547ms
Attempt 5: 0.9309002198278904ms
Attempt 6: 0.8487002924084663ms
Attempt 7: 0.753799919039011ms
Attempt 8: 0.803699716925621ms
Attempt 9: 0.9987000375986099ms
Attempt 10: 0.7575997151434422ms
Average time: 0.8441099897027016ms
100 vertexes:
Attempt 1: 1.5088999643921852ms
Attempt 2: 1.47610018029809ms
Attempt 3: 1.5358002856373787ms
Attempt 4: 1.393099781125784ms
Attempt 5: 1.2446003966033459ms
Attempt 6: 1.6268999315798283ms
Attempt 7: 1.653000246733427ms
Attempt 8: 1.446399837732315ms
Attempt 9: 1.4757998287677765ms
Attempt 10: 1.7923996783792973ms
Average time: 1.5153000131249428ms
120 vertexes:
Attempt 1: 2.676200121641159ms
Attempt 2: 2.5530001148581505ms
Attempt 3: 2.841500099748373ms
Attempt 4: 2.3149000480771065ms
Attempt 5: 2.597999759018421ms
Attempt 6: 2.4128002114593983ms
Attempt 7: 2.601499669253826ms
Attempt 8: 2.8029996901750565ms
Attempt 9: 2.271699719130993ms
Attempt 10: 2.8689000755548477ms
Average time: 2.594149950891733ms
140 vertexes:
Attempt 1: 3.630999941378832ms
Attempt 2: 4.263800103217363ms
Attempt 3: 4.444499965757132ms
Attempt 4: 4.274299833923578ms
Attempt 5: 4.202000331133604ms
Attempt 6: 3.7889997474849224ms
Attempt 7: 4.51119989156723ms
Attempt 8: 3.634300082921982ms
Attempt 9: 4.9276999197900295ms
Attempt 10: 4.457599949091673ms
Average time: 4.213539976626635ms
160 vertexes:
Attempt 1: 5.865499842911959ms
Attempt 2: 6.231199949979782ms
Attempt 3: 5.67340012639761ms
Attempt 4: 5.976300220936537ms
Attempt 5: 6.227700039744377ms
Attempt 6: 6.334700156003237ms
Attempt 7: 5.79219963401556ms
Attempt 8: 5.921199917793274ms
Attempt 9: 6.474799942225218ms
Attempt 10: 5.990899633616209ms
Average time: 6.048789946362376ms
180 vertexes:
Attempt 1: 8.536200039088726ms
Attempt 2: 8.750000037252903ms
Attempt 3: 8.689099922776222ms
Attempt 4: 8.292700164020061ms
Attempt 5: 9.018100332468748ms
Attempt 6: 9.249200113117695ms
Attempt 7: 8.392799645662308ms
Attempt 8: 8.769900072366ms
Attempt 9: 8.920199703425169ms
Attempt 10: 9.26030008122325ms
Average time: 8.787850011140108ms
200 vertexes:
Attempt 1: 11.06429984793067ms
Attempt 2: 11.313199996948242ms
Attempt 3: 12.092099990695715ms
Attempt 4: 11.889699846506119ms
Attempt 5: 11.942800134420395ms
Attempt 6: 11.478999629616737ms
Attempt 7: 12.717799749225378ms
Attempt 8: 12.418299913406372ms
Attempt 9: 11.765900067985058ms
Attempt 10: 12.113699689507484ms
Average time: 11.879679886624217ms
