Experiment: 20250413_044720
Density: 1
Vertexes: 20 - 400, delta: 10
Same vertex amount repeat times: 10

20 vertexes:
Attempt 1: 0.04009995609521866ms
Attempt 2: 0.034300144761800766ms
Attempt 3: 0.033800024539232254ms
Attempt 4: 0.06530014798045158ms
Attempt 5: 0.03090035170316696ms
Attempt 6: 0.030699651688337326ms
Attempt 7: 0.03369990736246109ms
Attempt 8: 0.030399765819311142ms
Attempt 9: 0.032899901270866394ms
Attempt 10: 0.03220001235604286ms
Average time: 0.036429986357688904ms
30 vertexes:
Attempt 1: 0.0813002698123455ms
Attempt 2: 0.07910002022981644ms
Attempt 3: 0.08230004459619522ms
Attempt 4: 0.08479971438646317ms
Attempt 5: 0.08219992741942406ms
Attempt 6: 0.07819989696145058ms
Attempt 7: 0.08109956979751587ms
Attempt 8: 0.08350005373358727ms
Attempt 9: 0.07619988173246384ms
Attempt 10: 0.0741998665034771ms
Average time: 0.0802899245172739ms
40 vertexes:
Attempt 1: 0.15440024435520172ms
Attempt 2: 0.161800067871809ms
Attempt 3: 0.1559997908771038ms
Attempt 4: 0.15929993242025375ms
Attempt 5: 0.15540001913905144ms
Attempt 6: 0.15620002523064613ms
Attempt 7: 0.1531001180410385ms
Attempt 8: 0.15509966760873795ms
Attempt 9: 0.14819996431469917ms
Attempt 10: 0.14990009367465973ms
Average time: 0.15493999235332012ms
50 vertexes:
Attempt 1: 0.27479976415634155ms
Attempt 2: 0.27120020240545273ms
Attempt 3: 0.2810000441968441ms
Attempt 4: 0.26529980823397636ms
Attempt 5: 0.2896999940276146ms
Attempt 6: 0.27590012177824974ms
Attempt 7: 0.28869975358247757ms
Attempt 8: 0.38559967651963234ms
Attempt 9: 0.6245998665690422ms
Attempt 10: 0.29110023751854897ms
Average time: 0.324789946898818ms
60 vertexes:
Attempt 1: 0.46999985352158546ms
Attempt 2: 0.4656999371945858ms
Attempt 3: 0.4604998975992203ms
Attempt 4: 0.5225003696978092ms
Attempt 5: 0.49109989777207375ms
Attempt 6: 0.44690025970339775ms
Attempt 7: 0.45030005276203156ms
